behavior,rmse_lon_deg,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
behavior_045,18.403686620156343,15,0.1,0.1,0.5,0.3
behavior_037,18.406930304014956,15,0.1,0.0,0.4,0.5
behavior_038,18.406930304014956,15,0.1,0.0,0.5,0.4
behavior_073,18.406930304014956,15,0.2,0.0,0.4,0.4
behavior_044,18.410843520180407,15,0.1,0.1,0.4,0.4
behavior_060,18.621934989637946,15,0.1,0.3,0.6,0.0
behavior_007,18.86598169289806,15,0.0,0.1,0.4,0.5
behavior_008,18.86598169289806,15,0.0,0.1,0.5,0.4
behavior_003,18.888866977360706,15,0.0,0.0,0.7,0.3
behavior_051,18.96283471475685,15,0.1,0.2,0.4,0.3
behavior_057,18.96283471475685,15,0.1,0.3,0.3,0.3
behavior_001,18.99219946827062,15,0.0,0.0,0.5,0.5
behavior_002,18.99219946827062,15,0.0,0.0,0.6,0.4
behavior_052,19.0118283590523,15,0.1,0.2,0.5,0.2
behavior_053,19.014617379458695,15,0.1,0.2,0.6,0.1
behavior_093,19.014617379458695,15,0.2,0.3,0.3,0.2
behavior_099,19.014617379458695,15,0.2,0.4,0.3,0.1
behavior_009,19.438589764046075,15,0.0,0.1,0.6,0.3
behavior_010,19.438589764046075,15,0.0,0.1,0.7,0.2
behavior_015,19.438589764046075,15,0.0,0.2,0.5,0.3
behavior_016,19.438589764046075,15,0.0,0.2,0.6,0.2
behavior_021,19.438589764046075,15,0.0,0.3,0.4,0.3
behavior_022,19.438589764046075,15,0.0,0.3,0.5,0.2
behavior_058,19.438589764046075,15,0.1,0.3,0.4,0.2
behavior_017,19.441317562038442,15,0.0,0.2,0.7,0.1
behavior_023,19.441317562038442,15,0.0,0.3,0.6,0.1
behavior_029,19.441317562038442,15,0.0,0.4,0.5,0.1
behavior_059,19.441317562038442,15,0.1,0.3,0.5,0.1
behavior_064,19.441317562038442,15,0.1,0.4,0.3,0.2
behavior_065,19.441317562038442,15,0.1,0.4,0.4,0.1
behavior_066,19.441317562038442,15,0.1,0.4,0.5,0.0
behavior_070,19.441317562038442,15,0.1,0.5,0.3,0.1
behavior_071,19.441317562038442,15,0.1,0.5,0.4,0.0
behavior_024,19.59329219462943,15,0.0,0.3,0.7,0.0
behavior_030,19.59329219462943,15,0.0,0.4,0.6,0.0
behavior_036,19.59329219462943,15,0.0,0.5,0.5,0.0
behavior_014,19.87738016265398,15,0.0,0.2,0.4,0.4
behavior_028,23.443403662061314,15,0.0,0.4,0.4,0.2
behavior_034,23.443403662061314,15,0.0,0.5,0.3,0.2
behavior_035,23.443403662061314,15,0.0,0.5,0.4,0.1
behavior_027,23.886866437248514,15,0.0,0.4,0.3,0.3
behavior_020,24.96110447930017,15,0.0,0.3,0.3,0.4
behavior_013,25.183198567525242,15,0.0,0.2,0.3,0.5
behavior_033,25.212648707542268,15,0.0,0.5,0.2,0.3
behavior_026,26.106421006926244,15,0.0,0.4,0.2,0.4
