behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_124,156,18792.747895737644,4408.409095270624,120.4663326649849,5810.113857656544,4176.088064112048,7799.814261324638,2108.5569753586133,0.3,0.3,0.1,0.3,ok
behavior_156,157,18898.54840915851,4412.011048476401,120.37291980355738,5807.3341439875085,4147.479499305026,7849.813070692104,2150.427955796934,0.4,0.4,0.0,0.2,ok
behavior_027,135,16529.210459619902,4415.707903240281,122.43859599718446,7918.824327975819,3887.9899774782857,6749.839264607861,2785.2004428886776,0.0,0.4,0.3,0.3,ok
behavior_187,159,19137.263064099112,4421.775020725848,120.36014505722711,5418.1003412637465,5108.435426018361,7949.810689427035,2200.237577885884,0.6,0.1,0.0,0.3,ok
behavior_063,155,18632.184134743555,4422.50445955627,120.20763957899068,5974.158220086298,4085.2378682954727,7749.815451957173,2136.7679994600458,0.1,0.4,0.2,0.3,ok
behavior_102,155,18615.8596091737,4432.436406920591,120.10232005918517,5910.310210466695,4087.7919520262653,7749.815451957173,2157.4842180920073,0.2,0.5,0.1,0.2,ok
behavior_197,159,19153.94223348826,4438.712353601307,120.46504549363685,5327.0220423115015,5354.839450792253,7949.810689427035,2365.9897466108396,0.7,0.0,0.0,0.3,ok
behavior_072,155,18646.201242061383,4485.311395904118,120.29807252942828,5735.954372524869,4637.718795923611,7749.815451957173,2026.3517716239808,0.2,0.0,0.3,0.5,ok
behavior_034,134,16419.150980095896,4524.882949037839,122.53097746340221,7817.681721711245,3904.1436322623335,6699.840455240395,2814.294981672741,0.0,0.5,0.3,0.2,ok
behavior_112,157,18892.46293589831,4533.918713525451,120.33415882737778,5769.672008208381,4424.614778143882,7849.813070692104,1976.4825477753152,0.3,0.1,0.2,0.4,ok
behavior_014,127,15578.838171618401,4534.9469869703835,122.66801709935748,7136.929249259781,4288.623172815601,6349.848789668136,2843.2070913500143,0.0,0.2,0.4,0.4,ok
behavior_148,156,18767.153567589557,4564.818506461051,120.30226645890743,5771.857912227514,4340.922474006408,7799.814261324638,2026.364735454329,0.4,0.2,0.1,0.3,ok
behavior_001,126,15455.592600324639,4575.064496351096,122.66343333590983,6993.753406562219,4384.585490097056,6299.849980300671,2850.2790124015146,0.0,0.0,0.5,0.5,ok
behavior_176,156,18793.764027047288,4575.935848230202,120.47284632722621,5793.332920460498,4165.930687230551,7799.814261324638,2147.450909153939,0.5,0.3,0.0,0.2,ok
behavior_216,180,21791.145097269342,4583.165030948962,121.0619172070519,4583.165030948962,5949.593554157586,8999.785686143812,5046.335290638589,1.0,0.0,0.0,0.0,ok
behavior_050,155,18644.57049393971,4586.346376735133,120.28755157380459,5838.415558733492,4335.867599302729,7749.815451957173,2025.9666635352035,0.1,0.2,0.3,0.4,ok
behavior_207,174,21169.722739630346,4595.163973354707,121.66507321626635,4667.075737400703,5904.877733782252,8699.792829939019,4307.516917170735,0.8,0.0,0.0,0.2,ok
behavior_159,155,18821.48587471825,4595.405831071054,121.42894112721453,5665.946778274903,4120.295886388821,7749.815451957173,2688.7917656668237,0.4,0.5,0.0,0.1,ok
behavior_092,155,18630.267567325067,4604.300227050437,120.19527462790366,5859.880572663382,4131.103650395868,7749.815451957173,2143.433090025211,0.2,0.3,0.2,0.3,ok
behavior_129,156,18792.47428733549,4611.97097919429,120.4645787649711,5819.9327461533085,4141.491422506993,7799.814261324638,2147.0658010651614,0.3,0.4,0.1,0.2,ok
behavior_213,177,21522.571472345207,4612.466927843245,121.59644899630061,4609.50847058038,5967.438290857675,8849.789258041415,4639.093043209043,0.9,0.0,0.0,0.1,ok
behavior_069,155,18615.8596091737,4616.386931069642,120.10232005918517,5910.310210466695,4087.7919520262653,7749.815451957173,2157.4842180920073,0.1,0.5,0.2,0.2,ok
behavior_136,157,18906.227260676376,4626.541924112329,120.4218296858368,5400.762411556373,5104.604594240157,7849.813070692104,2240.685863378391,0.4,0.0,0.2,0.4,ok
behavior_037,126,15474.956655013484,4637.922107886827,122.81711630963083,6923.322102309782,4425.141535546651,6299.849980300671,2851.2998110711565,0.1,0.0,0.4,0.5,ok
behavior_168,156,18781.25946531179,4664.4482690177765,120.39268888020378,5391.63454362963,5019.667718633793,7799.814261324638,2288.942664023721,0.5,0.1,0.1,0.3,ok
behavior_021,125,15366.860654111633,4677.793188363878,122.93488523289307,7032.1992549142515,4307.570804176622,6249.851170933205,2951.9382624586838,0.0,0.3,0.4,0.3,ok
behavior_191,155,18825.98066005002,4690.325303814997,121.45793974225819,5334.4771641194375,4723.099371369376,7749.815451957173,2725.0956553472906,0.6,0.2,0.0,0.2,ok
behavior_183,156,18771.825231029266,4690.512789170181,120.33221301941838,5357.814897744558,5213.327651293237,7799.814261324638,2319.4747479699304,0.6,0.0,0.1,0.3,ok
behavior_201,172,20945.005619022402,4713.920018495793,121.77328848268839,4696.000292407821,5804.597040013501,8599.795211204088,4231.300549044827,0.7,0.1,0.0,0.2,ok
behavior_215,180,21800.25067399084,4719.447437774268,121.11250374439355,4586.705700911442,5914.123069539699,8999.785686143812,5044.302291926709,0.9,0.1,0.0,0.0,ok
behavior_008,126,15459.606396666528,4728.368448542273,122.69528886243276,6984.869789469289,4380.883144172795,6299.849980300671,2850.8878599366335,0.0,0.1,0.5,0.4,ok
behavior_079,155,18645.860233651507,4733.879177247516,120.29587247517101,5811.815733040681,4360.306864026287,7749.815451957173,2026.3517716239808,0.2,0.1,0.3,0.4,ok
behavior_210,173,21058.246065768337,4742.446607468397,121.72396569808288,4639.613196158072,5836.716900756192,8649.794020571553,4470.843604663222,0.8,0.1,0.0,0.1,ok
behavior_179,155,18821.93206559778,4749.456102399954,121.43181977805018,5654.621796350128,4133.165069145526,7749.815451957173,2688.7917656668237,0.5,0.4,0.0,0.1,ok
behavior_057,126,15458.38652767543,4754.628179608949,122.6856073625034,7004.069387826805,4352.539252308778,6299.849980300671,2861.681570144772,0.1,0.3,0.3,0.3,ok
behavior_119,155,18637.73434870361,4766.833511957507,120.24344741099102,5783.497128136095,4336.575181312127,7749.815451957173,2048.354156209386,0.3,0.2,0.2,0.3,ok
behavior_153,156,18793.31723006384,4776.515813100433,120.46998224399897,5794.052410656836,4175.962066759207,7799.814261324638,2130.6240133873507,0.4,0.3,0.1,0.2,ok
behavior_044,126,15473.79338926398,4794.847847999874,122.80788404177761,6942.004035442282,4404.038686013579,6299.849980300671,2850.758959335043,0.1,0.1,0.4,0.4,ok
