route_name,point_index,lon,lat
start_83eea8fffffffff_end_830768fffffffff,4,-20.25828566386912,-68.13604720761879
start_83eea8fffffffff_end_830768fffffffff,5,-22.98723721966428,-67.57889689810469
start_83eea8fffffffff_end_830768fffffffff,6,-25.583644058900337,-66.9785947618638
start_83eea8fffffffff_end_830768fffffffff,7,-28.04704334896593,-66.33911817023025
start_83eea8fffffffff_end_830768fffffffff,8,-30.37898220790376,-65.66440226227566
start_83eea8fffffffff_end_830768fffffffff,9,-32.582588488446426,-64.95828080254317
start_83eea8fffffffff_end_830768fffffffff,10,-32.17770032225667,-63.82963948262643
start_83eea8fffffffff_end_830768fffffffff,11,-31.80682370734664,-62.70870996953608
start_83eea8fffffffff_end_830768fffffffff,12,-31.46587333423894,-61.5964031961196
start_83eea8fffffffff_end_830768fffffffff,13,-33.328847588587514,-60.89706873753011
start_83eea8fffffffff_end_830768fffffffff,14,-35.10008116682766,-60.177510697532
start_83eea8fffffffff_end_830768fffffffff,15,-34.66666048806154,-59.0984819845803
start_83eea8fffffffff_end_830768fffffffff,16,-36.300241378698175,-58.37494676914701
start_83eea8fffffffff_end_830768fffffffff,17,-37.8553411777258,-57.63731895651026
start_83eea8fffffffff_end_830768fffffffff,18,-37.36423167195105,-56.59599570361537
start_83eea8fffffffff_end_830768fffffffff,19,-36.90483170869178,-55.56516580738299
start_83eea8fffffffff_end_830768fffffffff,20,-36.47421999243465,-54.54552857531062
start_83eea8fffffffff_end_830768fffffffff,21,-36.06981710199783,-53.53771121711112
start_83eea8fffffffff_end_830768fffffffff,22,-35.68933779613531,-52.5422727756283
start_83eea8fffffffff_end_830768fffffffff,23,-35.33075093677958,-51.5597077900365
start_83eea8fffffffff_end_830768fffffffff,24,-35.07561616581248,-50.5600208527191
start_83eea8fffffffff_end_830768fffffffff,25,-34.95425639255736,-49.51170172283438
start_83eea8fffffffff_end_830768fffffffff,26,-34.83696134665922,-48.4537846072316
start_83eea8fffffffff_end_830768fffffffff,27,-34.723531116171266,-47.38688143244229
start_83eea8fffffffff_end_830768fffffffff,28,-33.35079034727119,-46.964502917793816
start_83eea8fffffffff_end_830768fffffffff,29,-31.981440144693146,-46.5198046159175
start_83eea8fffffffff_end_830768fffffffff,30,-30.61702473939076,-46.05282240921466
start_83eea8fffffffff_end_830768fffffffff,31,-29.25905491491321,-45.563670016859405
start_83eea8fffffffff_end_830768fffffffff,32,-27.908998312291168,-45.05254053075947
start_83eea8fffffffff_end_830768fffffffff,33,-26.56827044520285,-44.51970727473728
start_83eea8fffffffff_end_830768fffffffff,34,-25.192761262272946,-45.09462402605392
start_83eea8fffffffff_end_830768fffffffff,35,-23.784064538568344,-45.65487866615484
start_83eea8fffffffff_end_830768fffffffff,36,-22.43658871387912,-45.07148661519392
start_83eea8fffffffff_end_830768fffffffff,37,-20.98900298096314,-45.600515193613134
start_83eea8fffffffff_end_830768fffffffff,38,-19.65257438009391,-44.98067607211014
start_83eea8fffffffff_end_830768fffffffff,39,-18.334538800421537,-44.34034924890669
start_83eea8fffffffff_end_830768fffffffff,40,-17.035884335758297,-43.68030095796937
start_83eea8fffffffff_end_830768fffffffff,41,-15.757490705223349,-43.00136686568813
start_83eea8fffffffff_end_830768fffffffff,42,-14.500129816872118,-42.30444705941837
start_83eea8fffffffff_end_830768fffffffff,43,-13.02686451604125,-42.73928472243384
start_83eea8fffffffff_end_830768fffffffff,44,-11.53450496381208,-43.1546393343662
start_83eea8fffffffff_end_830768fffffffff,45,-10.024739572990264,-43.549696335048125
start_83eea8fffffffff_end_830768fffffffff,46,-8.811569504301747,-42.79222872595698
start_83eea8fffffffff_end_830768fffffffff,47,-7.297583368042062,-43.15202911643017
start_83eea8fffffffff_end_830768fffffffff,48,-5.771916661959956,-43.490407918646426
start_83eea8fffffffff_end_830768fffffffff,49,-4.611806605171584,-42.69108900301848
start_83eea8fffffffff_end_830768fffffffff,50,-3.479997205997279,-41.87934757863095
start_83eea8fffffffff_end_830768fffffffff,51,-2.376316585449783,-41.05643049885101
start_83eea8fffffffff_end_830768fffffffff,52,-1.3005178124081704,-40.22359258373954
start_83eea8fffffffff_end_830768fffffffff,53,0.165340425836739,-40.49192039880524
start_83eea8fffffffff_end_830768fffffffff,54,1.1946592703418817,-39.64005794136374
start_83eea8fffffffff_end_830768fffffffff,55,2.641290865643189,-39.87824366845458
start_83eea8fffffffff_end_830768fffffffff,56,4.085765786283308,-40.09662344485254
start_83eea8fffffffff_end_830768fffffffff,57,5.52625909456995,-40.29525639834552
start_83eea8fffffffff_end_830768fffffffff,58,6.960975982868313,-40.474281681667655
start_83eea8fffffffff_end_830768fffffffff,59,8.38816491327464,-40.63391492793773
start_83eea8fffffffff_end_830768fffffffff,60,9.276452837701106,-39.73623076175167
