lat_band,benchmark_lat_median,benchmark_lon_median,route_lat_median,route_lon_median,n_points,behavior,squared_lon_error
"(-40, -30]",-35.56805596,3.938167204,-35.45632398896109,14.952534767226458,11,behavior_182,121.31629281785513
"(-30, -20]",-24.892482045,3.1913109405,-24.984828069821933,11.814802858026042,10,behavior_182,74.36461285163698
"(-20, -10]",-14.861629965,-2.1931205695,-15.68135925694431,5.004866791390242,13,behavior_182,51.811022047535666
"(-10, 0]",-4.2016837085,-11.19345858,-6.2220723793874715,-8.26020485551148,22,behavior_182,8.603977412225772
"(0, 10]",4.649206505,-23.063146705,4.413503593494211,-16.311633984735664,11,behavior_182,45.58292401189115
"(10, 20]",14.48227294,-40.47469647,14.141544876140044,-17.275014160559007,11,behavior_182,538.2252592589892
"(20, 30]",24.69371562,-49.41198452,23.845403066629533,-23.065592513987227,12,behavior_182,694.1323717344936
"(30, 40]",35.72890237,-46.307643205,34.87035302281723,-24.50666190060104,9,behavior_182,475.282785834753
"(40, 50]",45.949939150000006,-37.711282205,45.28997343772488,-22.87958216334062,9,behavior_182,219.979326125759
"(50, 60]",52.560148515,-25.18428898,55.49466054755884,-20.561659213760876,10,behavior_182,21.368705955719992
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_182,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_183,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_183,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-55.04703568657949,-13.111796265504166,15,behavior_183,335.76870350369853
"(-50, -40]",-43.7844094,0.441897953,-45.050822950890456,3.507878096956534,11,behavior_183,9.400234243135731
"(-40, -30]",-35.56805596,3.938167204,-35.239463162466706,13.326311412558082,11,behavior_183,88.13725168068265
"(-30, -20]",-24.892482045,3.1913109405,-24.984828069821933,11.814802858026042,10,behavior_183,74.36461285163698
"(-20, -10]",-14.861629965,-2.1931205695,-15.68135925694431,5.004866791390242,13,behavior_183,51.811022047535666
"(-10, 0]",-4.2016837085,-11.19345858,-6.2220723793874715,-8.26020485551148,22,behavior_183,8.603977412225772
"(0, 10]",4.649206505,-23.063146705,4.413503593494211,-16.311633984735664,11,behavior_183,45.58292401189115
"(10, 20]",14.48227294,-40.47469647,14.141544876140044,-17.275014160559007,11,behavior_183,538.2252592589892
"(20, 30]",24.69371562,-49.41198452,23.845403066629533,-23.065592513987227,12,behavior_183,694.1323717344936
"(30, 40]",35.72890237,-46.307643205,34.87035302281723,-24.50666190060104,9,behavior_183,475.282785834753
"(40, 50]",45.949939150000006,-37.711282205,45.28997343772488,-22.87958216334062,9,behavior_183,219.979326125759
"(50, 60]",52.560148515,-25.18428898,55.49466054755884,-20.561659213760876,10,behavior_183,21.368705955719992
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_183,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_184,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_184,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-55.04703568657949,-13.111796265504166,15,behavior_184,335.76870350369853
"(-50, -40]",-43.7844094,0.441897953,-45.050822950890456,3.507878096956534,11,behavior_184,9.400234243135731
"(-40, -30]",-35.56805596,3.938167204,-35.239463162466706,13.326311412558082,11,behavior_184,88.13725168068265
"(-30, -20]",-24.892482045,3.1913109405,-24.984828069821933,11.814802858026042,10,behavior_184,74.36461285163698
"(-20, -10]",-14.861629965,-2.1931205695,-13.18282885275984,2.197163414326337,21,behavior_184,19.27459345864205
"(-10, 0]",-4.2016837085,-11.19345858,-6.656196844526108,-15.32845226080132,15,behavior_184,17.098172740266854
"(0, 10]",4.649206505,-23.063146705,5.032609342962526,-18.000221875057086,10,behavior_184,25.633207833652495
"(10, 20]",14.48227294,-40.47469647,14.655558162555813,-17.456304697803922,10,behavior_184,529.846359778304
"(20, 30]",24.69371562,-49.41198452,23.845403066629533,-23.065592513987227,12,behavior_184,694.1323717344936
"(30, 40]",35.72890237,-46.307643205,34.87035302281723,-24.50666190060104,9,behavior_184,475.282785834753
"(40, 50]",45.949939150000006,-37.711282205,45.28997343772488,-22.87958216334062,9,behavior_184,219.979326125759
"(50, 60]",52.560148515,-25.18428898,55.49466054755884,-20.561659213760876,10,behavior_184,21.368705955719992
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_184,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_185,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-64.68753737032831,-20.69147671310828,9,behavior_185,208.18093084709184
"(-60, -50]",-58.0693621,-31.43578883,-54.72148103306775,-12.366127925490392,14,behavior_185,363.6519670129822
"(-50, -40]",-43.7844094,0.441897953,-45.050822950890456,3.507878096956534,11,behavior_185,9.400234243135731
"(-40, -30]",-35.56805596,3.938167204,-35.239463162466706,13.245081400630514,11,behavior_185,86.61865186344264
"(-30, -20]",-24.892482045,3.1913109405,-24.786900530126708,10.658332429377145,10,behavior_185,55.75640991535305
"(-20, -10]",-14.861629965,-2.1931205695,-13.03708100159824,1.6672427409498518,20,behavior_185,14.902404888667341
"(-10, 0]",-4.2016837085,-11.19345858,-6.656196844526108,-15.32845226080132,15,behavior_185,17.098172740266854
"(0, 10]",4.649206505,-23.063146705,5.032609342962526,-18.000221875057086,10,behavior_185,25.633207833652495
"(10, 20]",14.48227294,-40.47469647,15.169571448971585,-17.623541855834073,11,behavior_185,522.1752672005166
"(20, 30]",24.69371562,-49.41198452,23.726014190975786,-24.736635680124763,11,behavior_185,608.872840369532
"(30, 40]",35.72890237,-46.307643205,34.87035302281723,-24.50666190060104,9,behavior_185,475.282785834753
"(40, 50]",45.949939150000006,-37.711282205,45.28997343772488,-22.87958216334062,9,behavior_185,219.979326125759
"(50, 60]",52.560148515,-25.18428898,55.49466054755884,-20.561659213760876,10,behavior_185,21.368705955719992
