behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_079,158,18776.21162731932,4913.994890757227,118.8367824513881,6191.076788002239,4529.024089610509,7899.811880059569,2132.333900444632,0.2,0.1,0.3,0.4,ok
behavior_021,135,16461.825106325465,4945.881976788209,121.93944523204048,7474.088656453914,4470.958872280236,6749.839264607861,3015.528697536623,0.0,0.3,0.4,0.3,ok
behavior_057,158,18815.487691295973,4958.3682120562,119.08536513478464,6310.802739903151,4294.811621537052,7899.811880059569,2229.6696252896472,0.1,0.3,0.3,0.3,ok
behavior_168,160,19042.323000188724,4963.52280657208,119.01451875117952,6082.901961457698,4732.175766195406,7999.8094987945005,2162.910997814128,0.5,0.1,0.1,0.3,ok
behavior_119,158,18776.29126811637,4982.487435931486,118.83728650706563,6185.9306886053355,4528.940105496686,7899.811880059569,2136.526107462096,0.3,0.2,0.2,0.3,ok
behavior_179,162,19500.512377306615,5001.737070944967,120.37353319325071,6066.535602149065,4180.2328094249315,8099.807117529432,2963.761461004655,0.5,0.4,0.0,0.1,ok
behavior_098,158,18820.073851008317,5003.800823971936,119.11439146207796,6309.155232304036,4278.102800908145,7899.811880059569,2253.8314056797767,0.2,0.4,0.2,0.2,ok
behavior_133,162,19501.843159407865,5014.629524225216,120.38174789757942,6072.49446457517,4171.595545239126,8099.807117529432,2971.0270048015764,0.3,0.5,0.1,0.1,ok
behavior_153,162,19359.485384775027,5018.8727251417895,119.50299620231499,6200.842628566494,4244.764776837635,8099.807117529432,2275.6276445547755,0.4,0.3,0.1,0.2,ok
behavior_191,161,19378.0617048776,5019.929121754042,120.36063170731428,6053.755860726831,4330.856668644386,8049.808308161966,2607.521357945323,0.6,0.2,0.0,0.2,ok
behavior_008,136,16591.896766222897,5025.651281048967,121.99924092810954,7377.557738759632,4502.615351357232,6799.838073975327,2938.676772313928,0.0,0.1,0.5,0.4,ok
behavior_106,158,18776.552635729196,5057.441752441655,118.83894073246327,6115.215427486425,4806.436021507831,7899.811880059569,2132.333900444632,0.3,0.0,0.3,0.4,ok
behavior_207,184,22209.542049514694,5060.836359330977,120.70403287779725,5218.004041730934,6148.346599581268,9199.780923613675,4432.165629731154,0.8,0.0,0.0,0.2,ok
behavior_044,136,16589.18891322704,5082.707945664034,121.97933024431647,7364.210347160806,4508.809724322467,6799.838073975327,2938.676772313928,0.1,0.1,0.4,0.4,ok
behavior_028,134,16302.778694462299,5082.838325372702,121.66252757061417,7381.695091176133,4460.66358880556,6699.840455240395,3093.183538771585,0.0,0.4,0.4,0.2,ok
