source_h3,target_h3,source_lon,source_lat,target_lon,target_lat,edge_distance_km,edge_bearing_deg,source_u10,source_v10,source_speed,source_chlor_a,target_chlor_a,windsupport_raw,parallel_wind_cost_raw,crosswind_cost_raw,distance_cost_raw,food_cost_raw,w_cost,c_cost,d_cost,f_cost,legacy_constant_distance_reference
830003fffffffff,830002fffffffff,40.49488067269076,80.19095721433925,43.75098847490955,79.24756210656105,123.1661273211095,146.75816731233022,-0.6611602,-1.673046,2.748059,1.4305017,1.9681301,1.0368451134745487,6.530567280809715,1.4700911328363253,1.291695323503319,0.0,43.152794422410366,18.024558701731046,13.875886455397817,0.0,49.99880936746571
830003fffffffff,83000efffffffff,40.49488067269076,80.19095721433925,36.5589999989751,81.0988307976139,123.44419431048333,326.75816731233164,-0.6611602,-1.673046,2.748059,1.4305017,0.0,-1.0368451134745844,8.604257507758847,1.4700911328363,1.5697623128771454,0.0,56.8553602503827,18.024558701730736,16.862988677832714,0.0,49.99880936746571
830003fffffffff,83001cfffffffff,40.49488067269076,80.19095721433925,46.80505562258983,80.14965164562977,119.81663912136524,89.08471836247071,-0.6611602,-1.673046,2.748059,1.4305017,0.0,-0.6878010756344055,8.255213469918669,1.6622711597498752,0.0,0.0,54.548941073974234,20.38084811742212,0.0,0.0,49.99880936746571
830003fffffffff,83001dfffffffff,40.49488067269076,80.19095721433925,43.52421550131987,81.1292607318741,117.75436504121438,26.16383773205115,-0.6611602,-1.673046,2.748059,1.4305017,1.8391465,-1.7931520541676778,9.36056444845194,0.14429635759185877,0.0,0.0,61.85289821739445,1.7691951946151936,0.0,0.0,49.99880936746571
830004fffffffff,830000fffffffff,35.9758018082166,78.28997925905192,38.02340700796989,79.24239850975904,114.80187808807652,21.723516638634067,-0.49881202,-1.8544704,2.7823787,1.7774838,1.8725796,-1.907391608420225,9.474804002704488,0.2230048158689571,0.0,0.0,62.607772302231496,2.7342273581662804,0.0,0.0,49.99880936746571
830004fffffffff,830005fffffffff,35.9758018082166,78.28997925905192,32.41364991071507,79.1345859133172,121.74126871608205,322.1969639804177,-0.49881202,-1.8544704,2.7823787,1.7774838,1.024748,-1.1595125621645348,8.726924956448798,1.530818249811282,0.0,0.0,57.66592432055069,18.769124436639032,0.0,0.0,49.99880936746571
830004fffffffff,830006fffffffff,35.9758018082166,78.28997925905192,41.20060633382336,78.33211415004435,117.75811281535144,85.16383475247017,-0.49881202,-1.8544704,2.7823787,1.7774838,1.8250461,-0.6533806648825825,8.220793059166846,1.8058149413852558,0.0,0.0,54.321497293787935,22.14081609530084,0.0,0.0,49.99880936746571
830004fffffffff,830022fffffffff,35.9758018082166,78.28997925905192,34.25574794254951,77.33823940738004,113.25673163351222,201.72351663863628,-0.49881202,-1.8544704,2.7823787,1.7774838,1.2792943,1.9073916084202165,5.660020785864047,0.22300481586903032,0.0,0.0,37.4003823705614,2.7342273581671783,0.0,0.0,49.99880936746571
830004fffffffff,830023fffffffff,35.9758018082166,78.28997925905192,30.88226077950457,78.15617299998873,116.51407078945904,265.16383475246977,-0.49881202,-1.8544704,2.7823787,1.7774838,1.7964491,0.6533806648825956,6.9140317294016675,1.8058149413852511,0.0,0.0,45.68665737900482,22.140816095300778,0.0,0.0,49.99880936746571
830004fffffffff,830031fffffffff,35.9758018082166,78.28997925905192,39.04680379264652,77.40990455122223,121.38512041715242,142.19696398041805,-0.49881202,-1.8544704,2.7823787,1.7774838,1.3787714,1.1595125621645437,6.407899832119719,1.530818249811275,0.0,0.0,42.34223035224209,18.76912443663895,0.0,0.0,49.99880936746571
