latitude_band,bearing_sector,count,mean,median,min,max
-50,NW,1859,119.3032535009707,121.08635547679796,87.95685245643512,131.3784999251761
-50,S,1708,121.66601668005968,122.02941576476907,99.65020939083853,131.37849992517562
-50,SE,1870,119.14383108751393,121.05974773064781,87.95685245643557,131.3784999251761
-50,SW,1885,118.10325496322736,120.30888522666456,87.95685245643533,131.0445744829971
-50,W,1742,119.20132988981548,121.88419347994915,89.87416054622251,131.37849992517593
-40,E,1865,121.9293262997971,123.6016103933938,87.95685245643502,131.378499925178
-40,N,1999,121.59098369706608,124.78658108098816,87.9568524564351,131.3784999251767
-40,NE,1997,120.43661525229952,120.94285434563604,89.87416054622435,131.3784999251765
-40,NW,2089,120.56617243504805,122.00590612983858,94.20792718586004,131.3784999251759
-40,S,1998,121.66872693417497,124.51486005748646,87.9568524564351,131.3784999251767
-40,SE,2093,120.50692065403048,122.00975429626436,87.95685245643512,131.3784999251759
-40,SW,2022,120.11658474360117,120.69507034431055,87.95685245643446,131.3784999251765
-40,W,1846,122.08279550108784,123.77340749393733,87.95685245643502,131.378499925178
-30,E,2014,122.06618377423847,123.79270747085769,86.33526984855459,131.37849992517613
-30,N,2187,121.62409602648702,123.13658518566751,86.33526984855479,131.3784999251766
-30,NE,2031,121.29754797299333,122.962939955956,86.33526984855634,131.37849992517798
-30,NW,2264,120.86420259360577,122.27942657281577,86.33526984855585,131.37849992517573
-30,S,2186,121.68476042538398,123.5304347144669,86.33526984855479,131.3784999251766
-30,SE,2258,120.95745387508396,122.16097563069286,86.33526984855585,131.37849992517573
-30,SW,2062,121.21462415514968,122.7973139537701,86.33526984855634,131.37849992517798
-30,W,1992,122.21731111611376,123.93196294783462,86.33526984855459,131.37849992517613
-20,E,2239,120.08311520399523,121.39439247870637,86.33526984855045,131.378499925176
-20,N,2447,119.70122578136264,120.54380700426262,86.33526984855389,131.3784999251761
-20,NE,1751,121.82764675616377,123.53043471446637,88.91355822037974,131.3784999251765
-20,NW,2271,120.96698540538453,122.11883458940252,88.91355822038167,131.37849992517738
-20,S,2424,119.97739240729753,120.94285434563523,94.89500853337364,131.3156877782171
-20,SE,2275,120.89389585369693,122.08072518831952,88.91355822038167,131.37849992517627
-20,SW,1781,121.87277088871863,123.64550958299174,88.91355822037974,131.3784999251759
-20,W,2236,120.04255283433936,121.26640379464877,86.33526984855045,131.378499925176
-10,E,2063,118.76935013335691,120.8756098276618,86.33526984855735,131.0445744829978
-10,N,2523,119.20815528030612,120.9590189636059,87.95685245643567,131.37849992517604
-10,NE,1876,120.00605660303636,121.10214025891938,86.33526984855662,131.3784999251777
-10,NW,2217,121.34481272153043,123.53043471446696,86.33526984855573,131.37849992517656
-10,S,2536,118.96393608606495,120.49467366442371,86.33526984855389,131.3784999251761
-10,SE,2217,121.40697018904994,123.530434714466,86.33526984855573,131.37849992517738
-10,SW,1878,120.26966938561432,121.26640379464757,86.33526984855662,131.3784999251777
-10,W,2061,118.68192463916047,120.8165595755289,86.33526984855735,131.0445744829978
0,E,2082,118.9583437848457,120.05662421112521,88.91355822038133,131.3784999251784
0,N,2390,121.68834388659508,122.96370179586516,86.33526984855443,131.3784999251767
0,NE,1894,118.19634457250092,120.05662421112496,86.33526984855294,131.14864590429647
0,NW,2410,120.03972024118049,121.39439247870627,86.335269848556,131.37849992517766
0,S,2385,121.68435226875356,123.13658518566736,86.33526984855443,131.3784999251767
0,SE,2397,120.13632133212964,121.74126871608,86.335269848556,131.37849992517766
0,SW,1884,118.16429565246985,120.05662421112528,86.33526984855398,130.98208135785146
0,W,2081,119.06130719227674,120.41637011740482,88.91355822038133,131.3784999251784
10,E,2072,120.98295451985251,122.11883458940298,86.33526984855538,131.378499925176
10,N,2488,119.99093860849189,121.87443199760597,86.33526984855568,131.37849992517607
10,NE,1776,121.07532359485214,121.9734450560702,86.33526984855807,131.378499925175
10,NW,2373,120.51332796953109,121.94098398229949,93.49797136015204,131.29477929922388
10,S,2495,120.08885411269291,121.88072480284136,86.33526984855568,131.37849992517607
10,SE,2391,120.35323857986323,121.69805199259996,93.49797136015204,131.378499925175
10,SW,1750,120.731028108648,121.69805199259804,86.33526984855294,131.378499925175
10,W,2099,120.93700124120737,122.07277083042057,86.33526984855538,131.378499925176
20,E,1968,121.0069701885645,122.94678828448444,86.33526984855251,131.37849992517604
20,N,2369,120.91211502553298,121.53736769920816,88.91355822038024,131.37849992517718
20,NE,1801,122.67250907194735,124.94647774311002,86.3352698485568,131.37849992517678
20,NW,2312,121.80646948922394,123.08276287424016,86.33526984855386,131.37849992517687
20,S,2356,120.80655740412632,121.76076000964599,88.91355822038024,131.37849992517718
20,SE,2305,121.7836448034832,123.16612732110475,86.33526984855386,131.37849992517687
20,SW,1799,122.49475621954295,124.78658108098772,86.3352698485568,131.37849992517678
