behavior,a_wind,b_crosswind,c_distance,d_food,status,error_type,error_message
behavior_150,0.4,0.2,0.3,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_151,0.4,0.2,0.4,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_152,0.4,0.3,0.0,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_153,0.4,0.3,0.1,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_154,0.4,0.3,0.2,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_155,0.4,0.3,0.3,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_156,0.4,0.4,0.0,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_157,0.4,0.4,0.1,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_158,0.4,0.4,0.2,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_159,0.4,0.5,0.0,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_160,0.4,0.5,0.1,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_161,0.5,0.0,0.0,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_162,0.5,0.0,0.1,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_163,0.5,0.0,0.2,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_164,0.5,0.0,0.3,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_165,0.5,0.0,0.4,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_166,0.5,0.0,0.5,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_167,0.5,0.1,0.0,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_168,0.5,0.1,0.1,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_169,0.5,0.1,0.2,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_170,0.5,0.1,0.3,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_171,0.5,0.1,0.4,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_172,0.5,0.2,0.0,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_173,0.5,0.2,0.1,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_174,0.5,0.2,0.2,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_175,0.5,0.2,0.3,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_176,0.5,0.3,0.0,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_177,0.5,0.3,0.1,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_178,0.5,0.3,0.2,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_179,0.5,0.4,0.0,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_180,0.5,0.4,0.1,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_181,0.5,0.5,0.0,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_182,0.6,0.0,0.0,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_183,0.6,0.0,0.1,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_184,0.6,0.0,0.2,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_185,0.6,0.0,0.3,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_186,0.6,0.0,0.4,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_187,0.6,0.1,0.0,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_188,0.6,0.1,0.1,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_189,0.6,0.1,0.2,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_190,0.6,0.1,0.3,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_191,0.6,0.2,0.0,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_192,0.6,0.2,0.1,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_193,0.6,0.2,0.2,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_194,0.6,0.3,0.0,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_195,0.6,0.3,0.1,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_196,0.6,0.4,0.0,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_197,0.7,0.0,0.0,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_198,0.7,0.0,0.1,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_199,0.7,0.0,0.2,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_200,0.7,0.0,0.3,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_201,0.7,0.1,0.0,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_202,0.7,0.1,0.1,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_203,0.7,0.1,0.2,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_204,0.7,0.2,0.0,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_205,0.7,0.2,0.1,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_206,0.7,0.3,0.0,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_207,0.8,0.0,0.0,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_208,0.8,0.0,0.1,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_209,0.8,0.0,0.2,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_210,0.8,0.1,0.0,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_211,0.8,0.1,0.1,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_212,0.8,0.2,0.0,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_213,0.9,0.0,0.0,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_214,0.9,0.0,0.1,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_215,0.9,0.1,0.0,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_216,1.0,0.0,0.0,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
